Test case length,Covered states,Covered transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,Number of killed All_Mutants OracleState,Mutation score All_Mutants OracleState,Number of killed All_Mutants OracleOutputAndState,Mutation score All_Mutants OracleOutputAndState,Number of killed All_Mutants OracleW,Mutation score All_Mutants OracleW,Number of CIS_Mutant,Number of killed CIS_Mutant OracleOutput,Mutation score CIS_Mutant OracleOutput,Number of killed CIS_Mutant OracleState,Mutation score CIS_Mutant OracleState,Number of killed CIS_Mutant OracleOutputAndState,Mutation score CIS_Mutant OracleOutputAndState,Number of killed CIS_Mutant OracleW,Mutation score CIS_Mutant OracleW,Number of CI_Mutant,Number of killed CI_Mutant OracleOutput,Mutation score CI_Mutant OracleOutput,Number of killed CI_Mutant OracleState,Mutation score CI_Mutant OracleState,Number of killed CI_Mutant OracleOutputAndState,Mutation score CI_Mutant OracleOutputAndState,Number of killed CI_Mutant OracleW,Mutation score CI_Mutant OracleW,Number of DI_Mutant,Number of killed DI_Mutant OracleOutput,Mutation score DI_Mutant OracleOutput,Number of killed DI_Mutant OracleState,Mutation score DI_Mutant OracleState,Number of killed DI_Mutant OracleOutputAndState,Mutation score DI_Mutant OracleOutputAndState,Number of killed DI_Mutant OracleW,Mutation score DI_Mutant OracleW,Number of II_Mutant,Number of killed II_Mutant OracleOutput,Mutation score II_Mutant OracleOutput,Number of killed II_Mutant OracleState,Mutation score II_Mutant OracleState,Number of killed II_Mutant OracleOutputAndState,Mutation score II_Mutant OracleOutputAndState,Number of killed II_Mutant OracleW,Mutation score II_Mutant OracleW,Number of CO_Mutant,Number of killed CO_Mutant OracleOutput,Mutation score CO_Mutant OracleOutput,Number of killed CO_Mutant OracleState,Mutation score CO_Mutant OracleState,Number of killed CO_Mutant OracleOutputAndState,Mutation score CO_Mutant OracleOutputAndState,Number of killed CO_Mutant OracleW,Mutation score CO_Mutant OracleW,Number of DO_Mutant,Number of killed DO_Mutant OracleOutput,Mutation score DO_Mutant OracleOutput,Number of killed DO_Mutant OracleState,Mutation score DO_Mutant OracleState,Number of killed DO_Mutant OracleOutputAndState,Mutation score DO_Mutant OracleOutputAndState,Number of killed DO_Mutant OracleW,Mutation score DO_Mutant OracleW,Number of IO_Mutant,Number of killed IO_Mutant OracleOutput,Mutation score IO_Mutant OracleOutput,Number of killed IO_Mutant OracleState,Mutation score IO_Mutant OracleState,Number of killed IO_Mutant OracleOutputAndState,Mutation score IO_Mutant OracleOutputAndState,Number of killed IO_Mutant OracleW,Mutation score IO_Mutant OracleW,Number of CSS_Mutant,Number of killed CSS_Mutant OracleOutput,Mutation score CSS_Mutant OracleOutput,Number of killed CSS_Mutant OracleState,Mutation score CSS_Mutant OracleState,Number of killed CSS_Mutant OracleOutputAndState,Mutation score CSS_Mutant OracleOutputAndState,Number of killed CSS_Mutant OracleW,Mutation score CSS_Mutant OracleW,Number of CES_Mutant,Number of killed CES_Mutant OracleOutput,Mutation score CES_Mutant OracleOutput,Number of killed CES_Mutant OracleState,Mutation score CES_Mutant OracleState,Number of killed CES_Mutant OracleOutputAndState,Mutation score CES_Mutant OracleOutputAndState,Number of killed CES_Mutant OracleW,Mutation score CES_Mutant OracleW,Number of RT_Mutant,Number of killed RT_Mutant OracleOutput,Mutation score RT_Mutant OracleOutput,Number of killed RT_Mutant OracleState,Mutation score RT_Mutant OracleState,Number of killed RT_Mutant OracleOutputAndState,Mutation score RT_Mutant OracleOutputAndState,Number of killed RT_Mutant OracleW,Mutation score RT_Mutant OracleW,Number of DT_Mutant,Number of killed DT_Mutant OracleOutput,Mutation score DT_Mutant OracleOutput,Number of killed DT_Mutant OracleState,Mutation score DT_Mutant OracleState,Number of killed DT_Mutant OracleOutputAndState,Mutation score DT_Mutant OracleOutputAndState,Number of killed DT_Mutant OracleW,Mutation score DT_Mutant OracleW,Number of IT_Mutant,Number of killed IT_Mutant OracleOutput,Mutation score IT_Mutant OracleOutput,Number of killed IT_Mutant OracleState,Mutation score IT_Mutant OracleState,Number of killed IT_Mutant OracleOutputAndState,Mutation score IT_Mutant OracleOutputAndState,Number of killed IT_Mutant OracleW,Mutation score IT_Mutant OracleW,Number of DS_Mutant,Number of killed DS_Mutant OracleOutput,Mutation score DS_Mutant OracleOutput,Number of killed DS_Mutant OracleState,Mutation score DS_Mutant OracleState,Number of killed DS_Mutant OracleOutputAndState,Mutation score DS_Mutant OracleOutputAndState,Number of killed DS_Mutant OracleW,Mutation score DS_Mutant OracleW,Number of IDSS_Mutant,Number of killed IDSS_Mutant OracleOutput,Mutation score IDSS_Mutant OracleOutput,Number of killed IDSS_Mutant OracleState,Mutation score IDSS_Mutant OracleState,Number of killed IDSS_Mutant OracleOutputAndState,Mutation score IDSS_Mutant OracleOutputAndState,Number of killed IDSS_Mutant OracleW,Mutation score IDSS_Mutant OracleW,Number of IDES_Mutant,Number of killed IDES_Mutant OracleOutput,Mutation score IDES_Mutant OracleOutput,Number of killed IDES_Mutant OracleState,Mutation score IDES_Mutant OracleState,Number of killed IDES_Mutant OracleOutputAndState,Mutation score IDES_Mutant OracleOutputAndState,Number of killed IDES_Mutant OracleW,Mutation score IDES_Mutant OracleW
3,3,3,3762,147,0.03907496,145,0.03854333,163,0.043328017,537,0.14274321,9,9,1,9,1,9,1,9,1,576,40,0.06944445,38,0.065972224,42,0.072916664,120,0.20833333,64,14,0.21875,13,0.203125,15,0.234375,25,0.390625,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,39,0.203125,64,3,0.046875,0,0,3,0.046875,13,0.203125,0,0,NaN,0,NaN,0,NaN,0,NaN,576,40,0.06944445,40,0.06944445,40,0.06944445,168,0.29166666,576,18,0.03125,27,0.046875,27,0.046875,36,0.0625,64,6,0.09375,6,0.09375,6,0.09375,22,0.34375,64,3,0.046875,3,0.046875,3,0.046875,13,0.203125,1440,0,0,0,0,0,0,80,0.055555556,9,3,0.33333334,3,0.33333334,3,0.33333334,8,0.8888889,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,138,0.036682617,149,0.039606594,167,0.044391282,495,0.13157895,9,9,1,9,1,9,1,9,1,576,38,0.065972224,38,0.065972224,42,0.072916664,93,0.16145833,64,13,0.203125,13,0.203125,15,0.234375,22,0.34375,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,30,0.15625,64,3,0.046875,0,0,3,0.046875,10,0.15625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,39,0.067708336,43,0.074652776,43,0.074652776,148,0.25694445,576,14,0.024305556,27,0.046875,27,0.046875,27,0.046875,64,5,0.078125,7,0.109375,7,0.109375,16,0.25,64,3,0.046875,3,0.046875,3,0.046875,10,0.15625,1440,0,0,0,0,0,0,120,0.083333336,9,3,0.33333334,3,0.33333334,3,0.33333334,7,0.7777778,64,2,0.03125,3,0.046875,3,0.046875,3,0.046875,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,139,0.03694843,150,0.039872408,168,0.044657096,483,0.12838915,9,9,1,9,1,9,1,9,1,576,36,0.0625,38,0.065972224,42,0.072916664,104,0.18055555,64,12,0.1875,13,0.203125,15,0.234375,23,0.359375,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,33,0.171875,64,3,0.046875,0,0,3,0.046875,11,0.171875,0,0,NaN,0,NaN,0,NaN,0,NaN,576,42,0.072916664,45,0.078125,45,0.078125,155,0.2690972,576,15,0.026041666,27,0.046875,27,0.046875,27,0.046875,64,5,0.078125,6,0.09375,6,0.09375,21,0.328125,64,3,0.046875,3,0.046875,3,0.046875,11,0.171875,1440,0,0,0,0,0,0,80,0.055555556,9,3,0.33333334,3,0.33333334,3,0.33333334,6,0.6666667,64,2,0.03125,3,0.046875,3,0.046875,3,0.046875,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,138,0.036682617,149,0.039606594,167,0.044391282,502,0.13343966,9,9,1,9,1,9,1,9,1,576,36,0.0625,38,0.065972224,42,0.072916664,70,0.121527776,64,12,0.1875,13,0.203125,15,0.234375,16,0.25,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,21,0.109375,64,3,0.046875,0,0,3,0.046875,7,0.109375,0,0,NaN,0,NaN,0,NaN,0,NaN,576,41,0.07118055,44,0.07638889,44,0.07638889,125,0.2170139,576,15,0.026041666,27,0.046875,27,0.046875,27,0.046875,64,6,0.09375,7,0.109375,7,0.109375,13,0.203125,64,3,0.046875,3,0.046875,3,0.046875,7,0.109375,1440,0,0,0,0,0,0,200,0.1388889,9,2,0.22222222,2,0.22222222,2,0.22222222,4,0.44444445,64,2,0.03125,3,0.046875,3,0.046875,3,0.046875,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,137,0.0364168,132,0.03508772,166,0.044125464,502,0.13343966,9,9,1,9,1,9,1,9,1,576,36,0.0625,33,0.057291668,42,0.072916664,72,0.125,64,12,0.1875,13,0.203125,15,0.234375,16,0.25,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,21,0.109375,64,3,0.046875,0,0,3,0.046875,7,0.109375,0,0,NaN,0,NaN,0,NaN,0,NaN,576,41,0.07118055,35,0.060763888,44,0.07638889,122,0.21180555,576,15,0.026041666,27,0.046875,27,0.046875,27,0.046875,64,5,0.078125,5,0.078125,6,0.09375,14,0.21875,64,3,0.046875,2,0.03125,3,0.046875,7,0.109375,1440,0,0,0,0,0,0,200,0.1388889,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,64,2,0.03125,3,0.046875,3,0.046875,2,0.03125,64,0,0,3,0.046875,3,0.046875,0,0
2,2,2,3762,97,0.025784157,99,0.02631579,113,0.030037215,445,0.118288144,9,9,1,9,1,9,1,9,1,576,29,0.050347224,25,0.043402776,29,0.050347224,80,0.1388889,64,11,0.171875,9,0.140625,11,0.171875,18,0.28125,0,0,NaN,0,NaN,0,NaN,0,NaN,192,6,0.03125,0,0,6,0.03125,27,0.140625,64,2,0.03125,0,0,2,0.03125,9,0.140625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,25,0.043402776,27,0.046875,27,0.046875,134,0.2326389,576,7,0.012152778,18,0.03125,18,0.03125,18,0.03125,64,3,0.046875,3,0.046875,3,0.046875,12,0.1875,64,2,0.03125,2,0.03125,2,0.03125,9,0.140625,1440,0,0,0,0,0,0,120,0.083333336,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,64,1,0.015625,2,0.03125,2,0.03125,2,0.03125,64,0,0,2,0.03125,2,0.03125,0,0
3,3,3,3762,145,0.03854333,147,0.03907496,170,0.04518873,657,0.17464115,9,9,1,9,1,9,1,9,1,576,39,0.067708336,37,0.06423611,43,0.074652776,66,0.114583336,64,15,0.234375,14,0.21875,17,0.265625,19,0.296875,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,15,0.078125,64,3,0.046875,0,0,3,0.046875,5,0.078125,0,0,NaN,0,NaN,0,NaN,0,NaN,576,42,0.072916664,43,0.074652776,44,0.07638889,124,0.21527778,576,15,0.026041666,27,0.046875,27,0.046875,33,0.057291668,64,5,0.078125,5,0.078125,6,0.09375,14,0.21875,64,3,0.046875,3,0.046875,3,0.046875,5,0.078125,1440,0,0,0,0,0,0,360,0.25,9,3,0.33333334,3,0.33333334,3,0.33333334,3,0.33333334,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,146,0.038809143,140,0.03721425,166,0.044125464,514,0.13662945,9,9,1,9,1,9,1,9,1,576,39,0.067708336,33,0.057291668,41,0.07118055,109,0.1892361,64,15,0.234375,12,0.1875,16,0.25,25,0.390625,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,36,0.1875,64,3,0.046875,0,0,3,0.046875,12,0.1875,0,0,NaN,0,NaN,0,NaN,0,NaN,576,42,0.072916664,44,0.07638889,44,0.07638889,168,0.29166666,576,16,0.027777778,27,0.046875,27,0.046875,36,0.0625,64,6,0.09375,4,0.0625,6,0.09375,16,0.25,64,3,0.046875,3,0.046875,3,0.046875,12,0.1875,1440,0,0,0,0,0,0,80,0.055555556,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,144,0.03827751,144,0.03827751,169,0.044922914,556,0.14779373,9,9,1,9,1,9,1,9,1,576,39,0.067708336,35,0.060763888,43,0.074652776,129,0.22395833,64,15,0.234375,13,0.203125,17,0.265625,31,0.484375,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,39,0.203125,64,3,0.046875,0,0,3,0.046875,13,0.203125,0,0,NaN,0,NaN,0,NaN,0,NaN,576,41,0.07118055,44,0.07638889,44,0.07638889,178,0.3090278,576,15,0.026041666,27,0.046875,27,0.046875,36,0.0625,64,5,0.078125,4,0.0625,5,0.078125,17,0.265625,64,3,0.046875,3,0.046875,3,0.046875,13,0.203125,1440,0,0,0,0,0,0,80,0.055555556,9,3,0.33333334,3,0.33333334,3,0.33333334,7,0.7777778,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,147,0.03907496,140,0.03721425,169,0.044922914,519,0.13795853,9,9,1,9,1,9,1,9,1,576,43,0.074652776,33,0.057291668,43,0.074652776,111,0.19270833,64,17,0.265625,12,0.1875,17,0.265625,26,0.40625,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,36,0.1875,64,3,0.046875,0,0,3,0.046875,12,0.1875,0,0,NaN,0,NaN,0,NaN,0,NaN,576,41,0.07118055,44,0.07638889,45,0.078125,169,0.2934028,576,14,0.024305556,27,0.046875,27,0.046875,36,0.0625,64,5,0.078125,4,0.0625,5,0.078125,17,0.265625,64,3,0.046875,3,0.046875,3,0.046875,12,0.1875,1440,0,0,0,0,0,0,80,0.055555556,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,64,1,0.015625,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
