Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite209.txt,10,8,4,80,2738,1822,0.66544926,2.39356,15342,5948,123.86283,0.87641,0.76809,0.87641,0.87641,1.84588,9415,4587,97.03092,2.6866,0.66221,2.44427,15920,6074,126.17448,0.88744,0.78755,0.88744,0.88744,1.86076,9542,4624,97.68316,3.09871,0.67077,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite49.txt,10,8,4,80,2738,1822,0.66544926,2.37505,15118,5902,122.95528,0.87211,0.76057,0.87211,0.87211,1.84869,9436,4594,97.13908,2.65525,0.66297,2.4499,15994,6088,126.46739,0.88792,0.7884,0.88792,0.88792,1.8664,9584,4638,97.89791,3.1115,0.67229,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite681.txt,10,8,4,80,2738,1822,0.66544926,2.37505,15114,5902,122.93901,0.87521,0.766,0.87521,0.87521,1.82897,9163,4545,95.72356,2.67054,0.65767,2.45272,16031,6095,126.61359,0.88816,0.78882,0.88816,0.88816,1.86922,9605,4645,98.0051,3.11874,0.67304,2.30463,14525,5727,120.51971,0.84229,0.70946,0.84229,0.84229,1.7674,8916,4392,94.42457,2.0925,0.62885
TR_TestSuite521.txt,10,8,4,80,2738,1822,0.66544926,2.39477,15355,5951,123.91529,0.87713,0.76935,0.87713,0.87713,1.85151,9457,4601,97.24711,2.69843,0.66372,2.45272,16031,6095,126.61359,0.88816,0.78882,0.88816,0.88816,1.86922,9605,4645,98.0051,3.11874,0.67304,2.30463,14525,5727,120.51971,0.84229,0.70946,0.84229,0.84229,1.7674,8916,4392,94.42457,2.0925,0.62885
TR_TestSuite849.txt,10,8,4,80,2738,1822,0.66544926,2.35412,14860,5850,121.9016,0.87354,0.76307,0.87354,0.87354,1.80644,8875,4489,94.20722,2.66984,0.65249,2.40483,15434,5976,124.23365,0.88457,0.78247,0.88457,0.88457,1.82133,8992,4526,94.82616,3.08008,0.66105,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite693.txt,10,8,4,80,2738,1822,0.66544926,2.36177,14957,5869,122.29881,0.87234,0.76099,0.87234,0.87234,1.81207,8913,4503,94.40869,2.65378,0.65356,2.433,15788,6046,125.65031,0.88672,0.78628,0.88672,0.88672,1.8495,9330,4596,96.59193,3.10793,0.66818,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite533.txt,10,8,4,80,2738,1822,0.66544926,2.38149,15198,5918,123.28017,0.87426,0.76433,0.87426,0.87426,1.83461,9207,4559,95.95311,2.68167,0.65962,2.433,15788,6046,125.65031,0.88672,0.78628,0.88672,0.88672,1.8495,9330,4596,96.59193,3.10793,0.66818,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite853.txt,10,8,4,80,2738,1822,0.66544926,2.35775,14905,5859,122.08604,0.8733,0.76265,0.8733,0.8733,1.80926,8896,4496,94.31861,2.6643,0.65325,2.40765,15471,5983,124.38247,0.88481,0.78289,0.88481,0.88481,1.82414,9013,4533,94.93682,3.08732,0.66181,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite41.txt,10,8,4,80,2738,1822,0.66544926,2.35252,14842,5846,121.82775,0.87139,0.75932,0.87139,0.87139,1.82897,9165,4545,95.73401,2.64699,0.65811,2.433,15788,6046,125.65031,0.88624,0.78543,0.88624,0.88624,1.8495,9330,4596,96.59193,3.10419,0.66818,2.28491,14286,5678,119.52406,0.84086,0.70704,0.84086,0.84086,1.74769,8653,4343,93.0215,2.08533,0.62399
TR_TestSuite529.txt,10,8,4,80,2738,1822,0.66544926,2.37787,15153,5909,123.09752,0.8745,0.76474,0.8745,0.8745,1.83179,9186,4552,95.84362,2.68722,0.65886,2.43018,15751,6039,125.50299,0.88648,0.78585,0.88648,0.88648,1.84668,9309,4589,96.48316,3.10069,0.66743,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
